lambdaPrime;trainNdcg;devNdcg
1.5;0.8881248525903541;0.8668261366275355
1.6;0.8881248525903541;0.8668201232186117
1.7000000000000002;0.8881280108876226;0.8666415654578455
1.8000000000000003;0.8881248525903541;0.8668201232186117
1.9000000000000004;0.8881248525903541;0.8668261366275355
2.0000000000000004;0.8881280108876226;0.8668201232186117
2.1000000000000005;0.8881280108876226;0.8666415654578455
2.2000000000000006;0.8881248525903541;0.8666475788667694
2.3000000000000007;0.8881248525903541;0.8666475788667694
2.400000000000001;0.8881248525903541;0.8666415654578455
